optimizer,direction_seed,epsilon,sign,loss,baseline_loss,delta_loss
adamw,2031,0.1,-1,0.2465755483135581,0.22532904148101807,0.021246506832540035
adamw,2032,0.001,1,0.22559979278594255,0.22532904148101807,0.00027075130492448807
adamw,2032,0.001,-1,0.22506368346512318,0.22532904148101807,-0.00026535801589488983
adamw,2032,0.003,1,0.22615678003057837,0.22532904148101807,0.0008277385495603085
adamw,2032,0.003,-1,0.2245395565405488,0.22532904148101807,-0.000789484940469265
adamw,2032,0.01,1,0.22825151309370995,0.22532904148101807,0.0029224716126918793
adamw,2032,0.01,-1,0.22281312150880694,0.22532904148101807,-0.0025159199722111225
adamw,2032,0.03,1,0.2352087707258761,0.22532904148101807,0.009879729244858027
adamw,2032,0.03,-1,0.21880774525925517,0.22532904148101807,-0.006521296221762896
adamw,2032,0.1,1,0.2644501132890582,0.22532904148101807,0.03912107180804014
adamw,2032,0.1,-1,0.21190474461764097,0.22532904148101807,-0.013424296863377094
adamw,2033,0.001,1,0.22562031541019678,0.22532904148101807,0.00029127392917871475
adamw,2033,0.001,-1,0.22503910772502422,0.22532904148101807,-0.0002899337559938431
adamw,2033,0.003,1,0.2262067305855453,0.22532904148101807,0.000877689104527235
adamw,2033,0.003,-1,0.22446484584361315,0.22532904148101807,-0.0008641956374049187
adamw,2033,0.01,1,0.22827406786382198,0.22532904148101807,0.002945026382803917
adamw,2033,0.01,-1,0.22256636479869485,0.22532904148101807,-0.0027626766823232174
adamw,2033,0.03,1,0.23420123383402824,0.22532904148101807,0.008872192353010178
adamw,2033,0.03,-1,0.2181880478747189,0.22532904148101807,-0.007140993606299162
adamw,2033,0.1,1,0.25312048476189375,0.22532904148101807,0.027791443280875683
adamw,2033,0.1,-1,0.22007350716739893,0.22532904148101807,-0.005255534313619137
muon,2026,0.001,1,0.3199094394221902,0.3198715467005968,3.7892721593379974e-05
muon,2026,0.001,-1,0.31982799619436264,0.3198715467005968,-4.3550506234169006e-05
